CHEMICAL NAME,CAS No.,FORMULA,MOLECULAR WEIGHT (MW),SPECIFIC GRAVITY,pH,DIPOLE MOMENT (Debye),BOILING PT (Bp °C),MELTING PT (Mp °C),TLV TWA (ppm),FR VME (ppm),MAK TRK (ppm),Olf. (ppm),NIOSH TWA (ppm),TLV TWA (mg/m³),NIOSH TWA (mg/m³),A,B,C,D,E,F,G,H,HEPA,ESCO,!,COMBINATION,NON DUCTLESS RECOMMENDED PRODUCTS
2-ACETYLAMINOFLUORENE,53-96-3,C15H13NO,223.3,,,,,107.85,,,,,,,,1,,,,,,,,,,,,
2-AMINO PYRIDINE,504-29-0,C5H6N2,94,,,,211,,0.5,0.5,0.5,,0.5,,2,1,,,,,,,,,,,,
ACETAMIDE,60-35-5,C2H5NO,,,,,223,,,,50,,,,,1,,,,,,,,,,,,
ACETALDEHYDE,75-07-0,C2H4O,44,0.79,,,20,,100,100,50,0.05,,,,,,,,,2,,,,,,,
ACETIC ACID,64-19-7,C2H4O2,60,1.05,<0.1,,118,"16,5",10,,10,0.05,10,,25,1,1,,,,,,,,,,,
ACETIC ANHYDRIDE,108-24-7,C4H6O3,102,1.08,,,140,,5,5,5,0.13,C5,,C20,1,,,,,,,,,,,,
ACETONE,67-64-1,C3H6O,58,0.79,7,"29,1",56.5,"-94,9",500,750,500,13,250,,590,1,,,,,,,,,,,,
ACETONE CYANOHYDRIN AS CN,75-86-5,C4H7NO,85,0.93,,,82,-20,,,,,C1,,C4,2,,,,,,,,,,,,
ACETONITRILE,75-05-8,C2H3N,41,0.78,,,82,,40,40,40,170,20,,34,1,,,,,,,,,,,,
ACETOPHENONE,98-86-2,C8H8O,120,,,,201.7,10,,,,,,,,1,,,,,,,,,,,,
ACETYLENE,74-86-2,C2H2,26,0.001092,,,-84,,,,,,,,,1,,,,,,,,,,,,
ACETYLSALICYLIC ACID,50-78-2,C9H8O4,180,1.35,,,,135,,,,,,,,1,,,,,,,,,,,,
ACETYLENE TETRABROMIDE,79-27-6,C2H2Br4,346,2.97,,,239,,1,1,1,,,,,2,,,,,,,,,,,,
ACROLEIN,107-02-8,C3H4O,56,0.84,,,53,,0.1,,0.1,0.16,0.1,,0,,,,,,,,,,,1,,EFA
ACRYLAMIDE,79-06-1,C3H5NO,71,1.12,,,,84.5,,0.1,,,,,0,1,,,,,,,,,,,,
ACRYLIC ACID,79-10-7,C3H4O2,72,1.05,,,142,,2,10,,0.09,2,,6,1,,,,,,,,,,,,
ACRYLONITRILE,107-13-1,C3H3N,53,0.81,5.5-7.5,,77,,2,2,3,17,1,,2,2,,,,,,,,,,,,
ADIPIC ACID,124-04-9,C6H10O4,146,"1,36",3.2,,152,"337,5",,,,,,5,,,,,,,,,,1,,,,
ADIPONITRILE,111-69-3,C6H8N2,108,0.97,,,295,,2,,,,4,,18,1,,,,,,,,,,,,EFA
ALDICARB,116-06-3,C7H14O2N2S,,,,,190,100,,,,,,,,2,,,,,,,,,,,,EFA
ALDRIN,309-00-2,C12H8C16,365,1.6,,,,105,,,,,,0.25,0,1,,,,,,,,,,,,
ALGINIC ACID,9005-32-7,(C6H8O6)n,"10,000 - 600,000",1.601,1.5-3.5,,,,,,,,,,,2,,,,,,,,,,,,
ALLYL ALCOHOL,107-18-6,C3H6O,58,0.85,,,97,,0.5,2,2,1.1,2,,5,1,,,,,,,,,,,,
ALLYL CHLORIDE,107-05-1,C3H5Cl,77,0.94,,,44.5,,1,1,1,1.2,1,,3,1,,,,,,,,,,,,
ALLYL GLYCIDYL ETHER,106-92-3,C6H10O2,114,0.97,,,154,,1,5,,,5,,22,1,,,,,,,,,,,,
ALLYL PROPYL DISULFIDE,2179-59-1,C6H12S2,148,0.93,,,,,2,2,,,2,,12,,,,2,,,,,,,,,
ALPHA-ALUMINA,1344-28-1,Al2O3,101.9,4,,,5122,3358,,,,,15,,,,,,,,,,,1,,,,
ALPHA-TERPINEOL,98-55-5,C10H18O,154.25,0.9338,,,219,39,,,,,,,,1,,,,,,,,,,,,
ALUMINIUM (Metal & Oxide),7429-90-5,Al & Al2O3,,2.7 / 4.0,,,,660/2050,,,,,,10,10,,,,,,,,,1,,,,
ALUMINIUM (Pyro powders & Welding fume),,,,,,,,,,,,,,5,5,,,,,,,,,1,,,,
AMITROLE,61-82-5,C2H4N4,84,1.14,,,,159,,0.06,,,,0.2,0.2,,,,,,,,,,1,,,
AMMONIA,7664-41-7,NH3,17,0.00072,11,"1,42",-33,-78,25,25,50,5.2,25,,18,,,,,,,1,,,,,,
n-AMYL ACETATE,628-63-7,C7H14O2,130,0.88,,,148,,100,100,100,0.05,100,,525,1,,,,,,,,,,,,
Sec-AMYL ACETATE,626-38-0,C7H14O2,130,0.57,,,123,,125,125,100,0,125,,650,1,,,,,,,,,,,,
n-AMYL ALCOHOL,71-41-0,C5H12O,88,,,,138,,,,,,,,,1,,,,,,,,,,,,
AMMONIUM ACETATE,631-61-8,C2H3O2NH4,77,1.17,,,Decomp,114,,,,,,,,,,,,,,1,,,,,,
AMMONIUM CHLORIDE FUME,12125-02-9,NH4Cl,53.5,1.53,,,,338 (Sublimes),,,,,,,10,,,,,,,,,1,,,,
AMMONIUM HYDROXIDE,1336-21-6,NH4OH,35.04,0.91,,,37.7,?57.5,,,,,,,,,,,,,,1,,,,,,
ANILINE,62-53-3,C6H5NH2,93,1.02,,,184,,2,2,2,1.1,,,,1,,,,,,,,,,,,
Ortho & Para ANISIDINE,,C7H9ON,123,1.1,,,225,,0.1,0.1,0.1,,,,1,1,,,,,,,,,,,,
ANTIMONY,7440-36-0,Sb,121.8,6.69,,,2701,892,,,,,,,0.5,,,,,,,,,1,,,,
ARSENIC PENTOXIDE,1303-28-2,As2O5,230,4.32,,,,315,,,,,,,,,,,,,,,,,,1,,EFA
ARSINE,7784-42-1,AsH3,78,"4,93",,"0,20",-62.5,-117,0,0.05,0.05,0.5,,,C0.002,,,,,,,,,,1,,,
ASPHALT FUMES,8052-42-4,,,,,,,,,,,,,,5 mg/m [15min],1,,,,,,,,,,,,
1- BUTYNE,107-00-6,C4H6,54.091,0.6783,,,8.08,?125.7,,,,,,,,1,,,,,,,,,,,,
1-BROMO-3-CHLOROPROPANE,,C3H6BrCl,157.44,1.59,,,143,-59,,,,,,,,1,,,,,,,,,,,,
BARIUM & SOLUBLE CPDS,,Ba,137,,,,1640,,,,,,,0.05,0.05,,,,,,,,,,,,B(1) & HP(2),
BARIUM CHLORIDE (AS BA),10361-37-2,BaCl2,208.2,3.86,,,2566,1491,,,,,,,0.5,,,,,,,,,1,,,,
BARIUM HYDROXIDE,17194-00-2,Ba(OH)2,171.34,3.743,,,780,78,,,,,,,,,,,,,,,,1,,,,
BARIUM NITRATE (AS BA),10022-31-8,Ba(NO3)2,"261,37","3,24",,,,,,,,,,,10,,,,,,,,,1,,,,
BARIUM SULFATE,7727-43-7,BaSO4,233,4.25 – 4.5,,,1600 decomp,1580,,,,,,10,10,,,,,,,,,,,,B(1) & HP(2),
BENZENE,71-43-2,C6H6,78,0.88,,,80,,,,,,,,,1,,,,,,,,,,,,
BENOMYL,17804-35-2,C14H18N4O3,290,,,,,>298,0.84,0.8,,,,,,1,,,,,,,,,,,,
BENZENETHOL,108-98-5,C6H5SH,110,1.08,,,62,,,,,,C0.1,,(0.5 mg/m ) [15min],1,,,,,,,,,,,,
BENZIDINE,92-87-5,C12H12N2,184,1.08,,,402,,,0,,,,,,1,,,,,,,,,,,,
BENZYL ACETATE,140-11-4,C6H5CH2OCOCH3,150,1.25,,,212,,10,,,,,,,,1,,,,,,,,,,,
BENZYL CHLORIDE,100-44-7,C7H7Cl,127,1.1,,,179,,1,1,1,0.04,C1,,C5,1,,,,,,,,,,,,
BERYLLIUM & BERYLLIUM COMPOUNDS (AS BE),7440-41-7,Be,9,1.85,,,4258,2075,,,,,,,C 0.0005,,,,,,,,,1,,,,
BETA-CHLOROPRENE,126-99-8,C4H5Cl,88.5,0.96,,,-134,,,,,,,,,1,,,,,,,,,,,,
BIPHENYL,92-52-4,C12H10,154,1.04,,,255,,0.2,0.22,0.2,,0.2,,1,,1,,,,,,,,,,,
BISMUTH TELLURIDE,1304-82-1,Bi2Te3,802,7.7,,,,573,,,,,,10,10,,1,,,,,,,,,,,
"BORATES, TETRA, SODIUM SALTS (ANHYDROUS)",1330-43-4,Na2B4O7,201.2,2.37,,,,1092,,,,,,,1,,,,,,,,,1,,,,
BORIC ACID,10043-35-3,H3BO3,62,,3.6-4,,,,,,,,,,,,,,,,,,,1,,,,
BORON OXIDE,1303-86-2,B2O3,69.6,2.46,,,3106,568,,,,,,,10,,,,,,,,,1,,,,
BORON TRIBROMIDE,10294-33-4,BBr3,250.5,2.64,,,194°F,,,,,,C 1 ppm,,10,,,,,,,,,1,,,,
BORON TRIFLUORIDE,2095581,BF3,,,,,,,,,,,,,,,,,,,,,,1,,,,
BROMINE,7726-95-6,Br2,160,3.12,,,59,,0.1,,0.1,0.05,0.1,,0.7,,,,,1,,,,,,,,
BROMINE PENTAFLUORIDE,7789-30-2,BrF5,175,2.48,,,40.5,,0.1,0.1,,,0.1,,0.7,2,,,,,,,,,,,,
BUTYL CELLOSOVE,111-76-2,C6H14O2,118.17,0.9,,,171,-77,,,,,,,,1,,,,,,,,,,,,
BROMOETHANE,74-96-4,C2H5Br,113,,,,38.5,,5,200,,3.1,,,,1,,,,,,,,,,,,
BROMOFORM,75-25-2,CHBr3,253,2.89,,,149.5,,0.5,0.5,,1.3,0.5,,5,2,,,,,,,,,,,,
1-BROMONAPHTALENE,90-11-9,,207,,,,279,,,,,,,,,1,,,,,,,,,,,,
2-Bromo-1-chloropropane,,C3H6BrCl,157,,,,,,,,,,,,,1,,,,,,,,,,,,
n-BUTANE,106-97-8,C10H7Br,58,0.002532,,,-12,,800,800,1000,2700,800,,1900,2,,,,,,,,,,,,
"1,3-BUTADIENE",106-99-0,C4H10,54,0.65,,,-4.5,,2,,5,1.6,,,,,,,,,,,,1,,,,
2-BUTOXY ETHANOL,111-76-2,C6H14O2,118,0.9,,,171,,20,25,20,0.1,5,,24,1,,,,,,,,,,,,
2-BUTOXY ETHYL ACETATE,112-07-2,C8H16O3,160,0.94,,,,,,,20,,5,95,33,1,,,,,,,,,,,,
n-BUTYL ACETATE,123-86-4,C6H12O2,116,0.88,,,127,,150,150,100,0.39,150,,710,1,,,,,,,,,,,,
Sec & Ter BUTYL ACETATE,,C6H12O2,116,0.86,,,96,,200,200,100,,200,,950,1,,,,,,,,,,,,
n-BUTYL ACRYLATE,141-32-2,C7H12O2,128,0.89,,,146,,2,10,2,0.03,10,,55,1,,,,,,,,,,,,
Sec-BUTYL ALCOHOL,78-92-2,C4H10O,74,,,,99.5,,100,100,100,2.6,100,,305,1,,,,,,,,,,,,
Ter-BUTYL ALCOHOL,75-65-0,C4H10O,74,0.79 (solid),,,83,,100,100,100,47,100,,300,1,,,,,,,,,,,,
n-BUTYL AMINE,109-73-9,C4H9NH2,73,0.74,11.8,,78,,,,5,1.8,C50,,C15,2,,,,,,,,,,,,
Sec-BUTYL AMINE,13952-84-6,C4H9NH2,73,,,,63,,,,5,,,15,,2,,,,,,,,,,,,
n-BUTYL CHLORIDE,109-69-3,C4H9Cl,92,,,,78.5,,,,,,,,,1,,,,,,,,,,,,
Sec-BUTYL CHLORIDE,78-86-4,C4H9Cl,92,,,,68,,,,,,,,,1,,,,,,,,,,,,
Ter-BUTYL CHROMATE as CrO3,1189-85-1,C8H18CrO4,230,,,,,-5,,,,,,,0.001,,,,,,,,,1,,,,
BUTYL ETHER,142-96-1,C8H18O,130,,,,142,,,,,,,,,1,,,,,,,,,,,,
BUTYLENE,,C4H8,,,,,,,,,,,,,,1,,,,,,,,,,,,
BUTYRALDEHYDE,123-72-8,C4H8O,72.11,0.8,,,74.8,?99,,,,,,,,,,,,,1,,,,,,,
BUTYRIC ACID,107-92-6,C4H8O2,88.11,0.9595,,,163.5,?7.9,,,,,,,,1,,,,,,,,,,,,
n-BUTYL GLYCIDYL ETHER,8/6/2426,C7H14O2,118,0.91,,,164,,25,25,,,C5.6,,C30,1,,,,,,,1,,,,,
n-BUTYL LACTATE,138-22-7,C7H14O3,146,0.98,,,188,,5,5,,7,5,,25,1,,,,,,,,,,,,
n-BUTYL MERCAPTAN,109-79-5,C4H10S,90,0.83,,,209,,,,,,C0.5,,1.8(15min),2,,,,,,,,,,,,
n-BUTYL METHACRYLATE,97-88-1,C18H14O2,142,,,,164,,,,,,,,,1,,,,,,,,,,,,
Ortho-sec-BUTYL PHENOL,89-72-5,C10H14O,150,0.89,,,226,,5,5,,,5,,30,1,,,,,,,,,,,,
"2,6 Di-Tert-BUTYL PHENOL",128-39-2 ,C10H14O,150,,,,239,,,,0.08,,,,,2,,,,,,,,,,,,
Para-Tert-BUTYL TOLUENE,98-51-1,C11H16,148,0.86,,,193,,1,10,,5,,,,2,1,,,,,,,,,,,
n-BUTYRIC ACID,107-92-6,C4H8O2,88,,,,163.5,,,,,,10,,60,1,1,,,,,,,,,,,
2-CHLOROPROPANE,75-29-6,C3H7Cl,79,0.862,,,35.74,-117.18,,,,,,,,,,,,,2,,,,,,,
"CADMIUM Fume, Dust, Salts as Cd",7440-43-9,"Cd, CdO","112
128","8.65
8.15/6.95",,,"760/900
Decomp",,,,,,,0.01,,,,,,,,,,1,,,,
CALCIUM ARSENATE (as As),7778-44-1,Ca3(AsO4)2,398.1,3.62,,,,,,,,,C0.002 [15-minute],,,,,,,,,,,,,1,,EFA
CALCIUM CARBONATE,471-34-1,CaCO3,100,2.7 - 2.95,9-Aug,,Decomp,,,,,,,,10,,,,,,,,,1,,,,
CALCIUM HYDOXIDE,1305-62-0,Ca(OH)2,74,2.24,12.4,,,,,,,,,5,5,,,,,,,,,1,,,,
CALCIUM OXIDE,1305-78-8,CaO,56,3.34,,,2850,,,,,,,2,2,,,,,,,,,1,,,,
CALCIUM SULFATE,7778-18-9,CaSO4,136,2.96,,,,1450,,,,,,10,10,,,,,,,,,1,,,,
CARBOFURAN,1563-66-2,C12H15NO3,221,1.18,,,,150,,,,,,0.1,0.1,1,,,,,,,,,,,,
CAPROLACTAM,105-60-2,C2H11NO,113.2,1.01,,,515°F,156°F,,,,,Vapor: 0.22,,"Dust: 1,
Vapor: 1",1,,,,,,,,,,,,
CAPRYLIC ACID,124-07-2,C8H16O2,144.21,0.91,,,237,16.7,,,,,,,,1,,,,,,,,,,,,
CARBON BLACK,1333-86-4,,12,1.8 - 2.1,,,sublimes,,,,,,,3.5,3.5,,,,,,,,,1,,,,
CARBON DIOXIDE,124-38-9,CO2,44,0.001836,,0,sublimes,,5000,,5000,74000,5000,,9000,,,,,,,,,,,1,,EFA
CARBON DISULFIDE,75-15-0,CS2,76,1.26,,,46,,10,10,2,1.1,1,,3,,,,1,,,,,,,,,
CARBON TETRABROMIDE,558-13-4,CBr4,332,3.42,,,189.5,,0.1,0.1,,,0.1,,1,1,,,,1,,,,,,,,
CARBON TETRACHLORIDE,56-23-5,CCl4,154,1.59,,,77,,5,2,10,96,,,,1,,,,1,,,,,,,,
CELLOSOLVE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CELLOSOLVE ACETATE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CESIUM HYDROXIDE,21351-79-1,CeOH,150,3.68,,,,272,,,,,,2,2,,,,,,,,,1,,,,
CHLORINE,7785-50-5,Cl2,70,0.002964,,0,-34.5,,0.5,,0.5,0.31,C0.5,,C1.45,,,,,2,,,,,,,,
CHLORINE DIOXIDE,10049-04-4,ClO2,68,0.002796,,,10,,0.1,0.1,0.1,9.4,0.1,,0.3,,,,,,,,,,,1,,EFA
CHLORINE TRIFLUORIDE,7790-91-2,ClF3,93,0.003852,,,11.5,,,,0.1,,C0.1,,C0.4,,,,,,,,,,,1,,EFA
CHLOROACETALDEHYDE sol.50%,107-20-0,C2H3OCl,82,1.19 (40%),1.2,,90/100,,,,1,,C1,,C3,1,,,,,1,,,,,,,
CHLORO ACETONE,,C3H5ClO,92,,,,119,,1,,,,,,,2,,,,,,,,,,,,
2-CHLOROACETOPHENONE,532-27-4,C8H7OCl,154,1.32,,,247,,0.05,0.05,,0.04,0.05,,0.3,1,,,,,,,,,,,,
CHLOROACETYLCHLORIDE,79-04-9,C2H2OCl2,112,1.42,,,105,,0.05,0.05,,,0.05,,0.2,2,,,,,,,,,,,,
CHLOROBENZENE,108-90-7,C6H5Cl,113,1.11,,,133,,10,10,10,0.68,,,,1,,,,,,,,,,,,
CHLOROBROMOMETHANE,74-97-5,CH2BrCl,129,1.93,,,68,,200,200,200,400,200,,1050,2,,,,,,,,,,,,
2-CHLOROETHANOL,107-07-3,C2H5OCl,80,,,,129,,,,1,,,3,,1,,,,,,,,,,,,
CHLOROBUTADIENE,126-99-8,C4H5Cl,89,0.9598,,,59.4,59.4,,,,,,,,1,,,,,,,,,,,,
CHLOROFORM,67-66-3,CHCl3,119,1.48,,,61,,10,5,10,1.3,,,,,,,,,,,1,,,,,
CHLOROMETHANE,74-87-3,CH3Cl,50,2.22,,,-24.2,?97.7,,,,,,,,,,,,,,,,,,1,,EFA
1-CHLORO-1-NITROPROPANE,600-25-9,C3H6NO2Cl,123,1.21,,,140,,2,2,20,,2,,10,2,,,,,,,,,,,,
CHLOROPENTAFLUOROETHANE,76-15-3,C2F5Cl,154,0.00666,,,-39,,1000,1000,,,1000,,6320,,,,,,,,,,1,,,
CHLOROPICRIN,76-06-2,CNO2Cl3,163,1.6,,,112,,0.1,0.1,0.1,0.78,0.1,,0.7,1,,,,,,,,,,,,
CHLOROPLATINIC ACID,16941-12-1,H2PtCl6,409.81,2.431,,,,,,,,,,,,1,,,,,,,,,,,A(1) & HP(2),
CHLOROPRENE 3,,C3H5Cl,76,,,,45,,1,1,1,1.2,,,,2,,,,,,,,,,,,
Ortho-CHLOROSTYRENE,2039-87-4,C8H7Cl,138,1.1,,,189,,50,50,,,50,,285,1,,,,,,,,,,,,
Ortho-CHLOROTOLUENE,95-49-8,C7H7Cl,126,1.08,,,159,,50,50,,0.38,50,,250,1,,,,,,,,,,,,
CHLOROTRIFLUOROMETHANE,,CClF3,105,,,,81.4,,,,1000,,,,,,,,,,,,,,1,,,
"CHROMIUM Metal, Dust",7440-47-3,Cr,,7.14,,,,,,,,,,0.5,0.5,,,,,,,,,1,,,,
CHROMIUM ANHYDRIDE,1333-82-0,CrO3,100,2.7,,,,196,,,,,,0.05,0.001,,,,,,,,,1,,,,
CHROMYL CHLORIDE,14977-61-8,CrO2Cl2,154,1.91,,,116,,,,,,,0.03,0,,,,,,,,,,,1,,EFA
CITRIC ACID,77-92-9,C6H8O7,192,1.665,,,,,,,,,,,,1,,,,,,,,,,,,
CLONIDINE,4205-90-7,C9H9Cl2N3,230,,,,,,,,,,,,,2,,,,,,,,,,,,
CLOPIDOL,2971-90-6,C7H7NOCl2,192,,,,,320,,,,,,10,10,,,,,,,,,1,,,,
COBALT (Fume & dust),7440-48-4,Co,,8.92,,,,,,,,,,0.02,0.05,,,,,,,,,1,,,,
COBALT CARBONYL & HYDRO CARBONYL,10210-68-1,CO2(Co)8 ,342,1.87,,,5,-26,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
COKE (Pyrolysis products of organic materials),,,,,,,,,,,,,,,C0.2,,,,,,,,,,1,,,
COPPER(II) ACETATE ANHYDROUS,142-71-2,Cu(CH3COO)2,182,1.88,,,,,,,,,,,,,,,,,,,,1,,,,
COPPER(II) ACETATE MONOHYDRATE,6046-93-1,,22,,,,,,,,,,,,,,,,,,,,,1,,,,
COPPER(II) NITRATE ANHYDROUS,3251-23-8,Cu(NO3)2,188,,,,,,,,,,,,,,,,,,,,,1,,,,
COPPER(II) NITRATE TRIHYDRATE,,,242,,,,,,,,,,,,,,,,,,,,,1,,,,
COPPER(II) SULFATE ANHYDROUS,7758-98-7,CuSO4,160,3.603,,,,,,,,,,,,,,,,,,,,1,,,,
COPPER(II) SULFATE PENTAHYDRATE,7758-99-8,,250,2.284,,,,,,,,,,,,,,,,,,,,1,,,,
CORTICOSTERONE,50-22-6,C21H30O4,347,,,,,,,,,,,,,1,,,,,,,,,,,,
"COTTON Dust, raw",,,,,,,,,,,,,,0.2,0.2,,,,,,,,,1,,,,
CREOSOTE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CRESOL all isomers,108-39-4,C7H8O,108,1.03-1.05,,,191,,5,5,5,,2.3,,10,1,,,,,,,,,,,,
CROTONALDEHYDE,123-73-9,C4H6O,70,0.87,,,102,,,2,0.34,0.12,2,,6,,,,,,1,,,,,,,
CUMENE,98-82-8,C9H12,120,0.86,,,152,,50,50,50,0.09,50,,245,1,,,,,,,,,,,,
Ortho-CUMIDINE,,C9H11NH2,135,,,,,225,,2,,,,,,,,,,,,,,,1,,,
CYANAMIDE,420-04-2,HCN : C : HCN or N : CNH3,54,1.26,,,260,,,,,,,2,2,,,,,,,,,,1,,,
CYANOGEN,460-19-5,C2N2,52,0.002184,,,-21,,10,2,10,,10,,20,,,,,,,,,,1,,,
CYANOGEN BROMIDE,506-68-3,CNBr,106,0.002184,,,61,,,,,,,,,,,,,,,,,,1,,,
CYANOGEN CHLORIDE,506-77-4,CNCl,61,1.19,,,,,,,,,,,,,,,,,,,,,,1,,EFA
CYCLOHEXANAMINE,108-91-8,C6H13N,99.17,0.8647,,,134.5,‘-17.7,,,,,,,,1,,,,,,,,,,,,
CYCLOHEXANE,110-82-7,C6H12,84,0.78,,,81,,300,300,200,25,300,,1050,1,,,,,,,,,,,,
CYCLOHEXANOL,108-93-0,C6H12O,100,0.96,,,161.5,,50,50,50,0.15,50,,200,1,,,,,,,,,,,,
CYCLOHEXANONE,108-94-1,C6H12O,98,0.95,,,157,,25,25,20,0.88,25,,100,1,,,,,,,,,,,,
CYCLOHEXENE,110-83-8,C6H10,82,0.81,,,83,,300,300,300,0.18,300,,1015,1,,,,,,,,,,,,
CYCLOHEXYLAMINE,108-91-8,C6H11NH2,99,0.87,,,134.5,,10,10,10,2.6,10,,40,1,,,,,,,,,,,,
CYCLOPENTADIENE,542-92-7,C5H6,66,0.8,,,42,,7,75,75,1.9,75,,200,1,,,,,,,,,,,,
CYCLOPENTANE,287-92-3,C5H10,70,0.75,,,49,,600,600,,,600,,1720,1,,,,,,,,,,,,
CYCLOSARIN,,C7H14FO2P,180.16,1.1278,,,239,‘-30,,,,,,,,1,,,,,,,,,,,,
