CHEMICAL NAME,CAS No.,FORMULA,MOLECULAR WEIGHT (MW),SPECIFIC GRAVITY,pH,DIPOLE MOMENT (Debye),BOILING PT (Bp °C),MELTING PT (Mp °C),TLV TWA (ppm),FR VME (ppm),MAK TRK (ppm),Olf. (ppm),NIOSH TWA (ppm),TLV TWA (mg/m³),NIOSH TWA (mg/m³),A,B,C,D,E,F,G,H,HEPA,ESCO,!,COMBINATION,NON DUCTLESS RECOMMENDED PRODUCTS
n-PENTANOIC ACID,,C5H10O2,102,,,,185,,,,,,,,,1,,,,,,,,,,,,
2-PENTANONE,107-87-9,C5H10O,86,0.81,,,102,,200,200,200,11,150,,530,1,,,,,,,,,,,,
PERLITE 1% quartz,93763-70-3,,,,,,,,,,,,,10,10,,,,,,,,,1,,,,
PHENIDONE,92-43-3,C9H10N2O,162.19,,,,,121,,,,,,,,1,,,,,,,,,,,,
PHENOL cold/hot,108-95-2,C6H6O,94,1.06,6,,182,,5,5,5,0.04,5,,19,1,,,,,,,,,,,,
2-PHENOXYETHANOL,,C8H10O2,102,,,,245,,,,20,,,,,1,,,,,,,,,,,,
PHENOLPHTHALEIN,77-09-8,C20H14O4,318.32,1.277,,,,262.5,,,,,,,,1,,,,,,,,,,,,
PHENYL ETHER-BIPHENYL mixture (vapor),8004-13-5,C24H20O,166,1.06,,,495°F,,,,,,1,,7,1,,,,,,,1,,,,,
PHENYL ETHER vapor,101-84-8,C12H10O,170,1.08,,,259,,1,1,1,,1,,7,1,,,,,,,1,,,,,
PHENYL GLYCIDYL ETHER cold/hot,122-60-1,C9H10O2,150,1.11,,,245,,0.1,1,1,,C1,,C6,1,,,,,,,1,,,,,
PHENYLHYDRAZINE,100-63-0,C6H8N2,108,1.1,,,Decomp,,0.1,,5,,C0.14,,C0.6,1,,,,,,,,,,,,
PHOSGENE,75-44-5,CCl2O,99,0.004176,,,8.3,-118,0.1,,0.02,0.9,0.1,,0.4,,,,,,,,,,1,,,
PHOSPHINE,7803-51-2,PH3,34,0.001416,,,-87.5,,0.3,0.1,0.1,0.51,0.3,,0.4,,,,,,,,,,1,,,
PHOSPHORIC ACID,7664-38-2,H3PO4,98,1.87,,,276,,,,,,,1,1,,,,,,,,,1,,,,
PHOSPHORUS PENTACHLORIDE,10026-13-8,Cl5P,208,3.6,,,Subl,,0.1,0.1,,,,,1,,,,,,,,,,1,,,
PHOSPHORUS PENTASULFIDE,1314-80-3,P2S5 or P4S10,126,2.09,,,-85,,,,,,,1,1,,,,,,,,,,1,,,
PHOSPHORUS TRICHLORIDE,,PCl3,137,1.58,,,76,,0.2,0.2,0.5,,,,,,,,,,,,,,1,,,
PHOSPHORUS yellow,7723-14-0,P4,222,1.82,,,514,,0.02,,0.2,,,,0.1,,,,,,,,,,1,,,
PHTHALIC ANHYDRIDE,85-44-9,C8H4O3,148,1.53 (Flake),,,Subl,,1,,,0.05,1,,6,,,,,,,,,,1,,,
PICRIC ACID,88-89-1,C6H3N3O7,223,1.76,,,300,,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
PIPERIDINE,110-89-4,C5H11N,85.15,0.862,,,106,?7,,,,,,,,1,,,,,,1,,,,,,
PITCH,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PLANT OILS,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PLATINUM,6/4/7440,Pt,195,21.45,,,3827,,,,,,,1,1,,,,,,,,,1,,,,
PLATINUM Soluble salts,,Pt,,,,,,,,,,,,,,,,,,,,,,1,,,,
POLY(Vinyl Acetate),9003-20-7,,,,,,,,,,,,,,,1,,,,,,,,,,,,
POLYACRYLONITRILE,25014-41-9,,,,,,,,,,,,,,,1,,,,,,,,,,,,
POLYETHYLENE GLYCOL,25322-68-3,C2n+2H4n+6On+244n+62,,,,,,,,,,,,,,1,,,,,,,,,,,,
POLYSORBATE 20,1227.54,C58H114O26,1227.54,1.1,,,,,,,,,,,,1,,,,,,,,,,,,
POLYVINYL ACETATE,9003-20-7,(C4H6O2)n,86.09,,,,,,,,,,,,,1,,,,,,,,,,,,
POLYVINYLPYRROLIDONE,9003-39-8,(C6H9NO)n,2.500 -2.5000.000,"1,2",,,110 - 180,,,,,,,,,1,,,,,,,,,,,,
POTASSIUM CYANIDE,151-50-8,KCN,65.12,1.52,,,1625,634.5,,,,,,,,,,,,,,,,1,,,,
POTASSIUM HYDROXIDE,1310-58-3,KOH,56,2.04,13.5,,,405,,,,,,,C2,,,,,,,,,1,,,,
POTASSIUM PERMANGANATE,7722-64-7,KMnO4,158,,,,Decomp,,,,,,,,,,,,,,,,,1,,,,
POTASSIUM PERSULFATE,7727-21-1,K2S2O8H2,272,,,,Decomp,,,,,,,,,,,,,,,,,1,,,,
PROPANAL,123-38-6,C3H6O,58.08,0.81,,2.52 D,46-50,?81,,,,,,,,2,,,,,1,,,,,,,
PROPANE,74-98-6,C3H8,44,0.00186,,,-42,,2500,,1000,16000,1000,,1800,1,,,,,,,,,,,,
PROPARGYL ALCOHOL,107-19-7,C3H4O,56,0.97,,,114,,1,1,2,,1,,2,1,,,,,,,,,,,,
PROPENE,115-07-1,C3H6,42,,,,-48,,,,,76,,,,,,,,,,,,,1,,,
PROPIONALDEHYDE,123-38-6,C3H6O,58.08,0.81,,2.52 D,46-50,?81,,,,,,,,,,,,,2,,,,,,,
PROPIONIC ACID,79-09-4,C3H6O2,74,0.99,,,141,,10,10,10,,10,,30,1,,,,,,,,,,,,
2-PROPOXYETHANOL,,C6H14O2,118,,,,150,,,,20,,,,,2,,,,,,,,,,,,
n-PROPYL ACETATE,109-60-4,C5H10O2,102,0.84,,,102,,200,,200,0.67,200,,840,1,,,,,,,,,,,,
n-PROPYL ALCOHOL,71-23-8,C3H8O,60,0.81,,,97,,200,200,,2.6,,,,2,,,,,,,,,,,,
n-PROPYLAMINE,107-10-8,C3H9N,59,,11.8,,48,,,,,,,,,2,,,,,,,,,,,,
PROPYL ETHER,111-43-3,C6H14O,102,"0,73",,,88,-123,,,,,,,,2,,,,,,,1,,,,,
PROPYL MERCAPTAN,107-03-9,,,,,,67,-113,,,,,,,,1,,,,,,,,,,,,
PROPYLENE,115-07-1,C3H6,42.08,1.81,,0.366 D,? 47.6,? 185.2,,,,,,,,2,,,,,,,,,,,,
PROPYLENE DICHLORIDE,78-87-5,C3H6Cl2,113,1.16,,,97,,75,75,,0.25,,,,1,,,,1,,,,,,,,
PROPYLENE GLYCOL MONOMETHYL ETHER ,107-98-2,C4H10O2,90,0.96,,,120,,100,,100,10,100,,360,2,,,,,,,1,,,,,
PROPYLENE IMINE,75-55-8,C3H7N,57,0.8,,,66,,2,,,,2,,5,2,,,,,,,,,,,,
PROPYLENE OXIDE,75-56-9,C3H6O,58,0.83,,,34,,20,20,2.5,44,,,,2,,,,,,,,,,,,
n-PROPYL NITRATE,627-13-4,C3H7NO3,105,1.07,,,110.5,,25,25,25,50,25,,105,,,,,,,,,,1,,,
PROPYNE,74-99-7,C3H4,40,0.001692,,,-23.1,,1000,1000,1000,,1000,,1650,2,,,,,,,,,,,,
PUTRESCINE,110-60-1,C4H12N2,88,,,,158–160,27,,,,,,,,1,,,,,,,,,,,,
PYRIDINE,110-86-1,C3H5N,79,0.98,8.5,,115,,5,,5,0.17,5,,15,1,,,,,,,,,,,,
QUARTZ,14808-60-7,SiO2,60,,,,2230,,,,,,,0.1,0.05,,,,,,,,,1,,,,
QUINONE,106-51-4,C6H4O2,108,1.32,,,Subl,240ºF,0.1,0.1,0.1,,0.1,,0.0.4,,,,,,,,,,,,A(1) & HP(2),
RADON,10043-92-2,Rn,222,,,,?61.85,71.15,,,,,,,,,,,,,,,,,,1,,EFI
RHODIUM insoluble salts,,Rh,,,,,,,,,,,,1,0.1,,,,,,,,,1,,,,
RHODIUM soluble salts,,Rh,,,,,,,,,,,,0.01,,,,,,,,,,1,,,,
ROTENONE,83-79-4,C23H22O6,394.4,1.27,,,330°F,,,,,,,,5,,,,,,,,,1,,,,
Sarin,107-44-8,C4H10FO2P,140,"1.0887  at 25ºC, 1.102 at 20ºC",,,158,-56,,,,,,,,,,,,,,,,,,1,,EFI
SELENIUM and Cpds,7782-49-2,Se,79,4.28,,,690,,,,,,,0.2,0.2,,,,,,,,,1,,,,
SELENIUM HEXAFLUORIDE as Se,7783-79-1,SeF6,193,0.00792,,,-34.5,,0.05,0.05,,,0.05,,,,,,,,,,,,,1,,EFA
SILICON Dust,7740-21-3,Si,28,2.33,,,2600,,,,,,,10,10,,,,,,,,,1,,,,
SILICON CARBIDE Dust,409-21-2,CSi,40,3.23,,,Subl,,,,,,,10,10,,,,,,,,,1,,,,
SILICON TETRAHYDRIDE,7803-62-5,SiH4,32,0.00332,,,-112,,5,,,,5,,7,,,,,,,,,,1,,,
SILVER Soluble Cpds,,Ag,,,,,,,,,,,,0.01,0.01,,,,,,,,,1,,,,
SILVER SULFATE,10294-26-5,Ag2SO4,312,5.45,,,1085,652,,,,,,,,,,,,,,,,1,,,,
SKATOLE,83-34-1,C9H9N,132,,,,265 °C,93-95,,,,,,,,1,,,,,,,,,,,,
SOAPSTONE  respirable particulate,14807-96-6,3MgO4.SiO2.H2O,,2.7-2.8,,,,,,,,,,3,6,,,,,,,,,1,,,,
SODIUM ACETATE,127-09-3,C2H3NaO2,82.03,1.528 g/cm3,,,881.4 (anhdrous),324 (anhydrous),,,,,,,,,,,,,,,,1,,,,
SODIUM ACETATE TRIHYDRATE,6131-90-4,C2H3NaO2. 3 H2O,,1.45,,,122 (trihydrate),58 (trihydrate),,,,,,,,,,,,,,,,1,,,,
SODIUM AZIDE POWDER,26628-22-8,NaN3,65,1.85,,,,275,,,,,C0.1,,,,,,,,,,,,,,A(1) & HP(2),
Sodium Bicarbonate,144-55-8,CHNaO3,84,CHNaO3,,,,50-270,,,,,,,,,,,,,,,,1,,,,
SODIUM BISULFITE,7631-90-5,NaHSO3,104,1.48,,,,Decomp,,,,,,5,5,,,,,,,,,1,,,,
SODIUM FLUOROACETATE,62-74-8,C2H2FO2Na,100,,,,Decomp,,,,,,,0.05,0.05,,,,,,,,,1,,,,
SODIUM HYDROXIDE,1310-73-2,NaOH,40,2.13,14,,1390,,,,,,,2,C2,,,,,,,,,1,,,,
SODIUM LAURYL SULFATE,151-21-3,NaC12H25SO4,288.38,1.01,,,,,,,,,,,,,,,,,,,,,,,A(1) & HP(2),
SODIUM METABISULFITE,7681-57-4,Na2S2O5,190,1.4,,,Decomp,,,,,,,5,5,,,,,,,,,1,,,,
SODIUM PERIODATE,7790-28-5,NaIO4,214,3.865,,,,300,,,,,,,,,,,,,,,,1,,,,
SODIUM SULFITE ANHYDROUS,7757-83-7,Na2SO3,126,2.6,,,,33.4,,,,,,,,,,,,,,,,1,,,,
SODIUM SULFITE HEPTAHYDRATE,7757-83-7,Na2SO3,126,1.56,,,,500,,,,,,,,,,,,,,,,1,,,,
SODIUM THIOSULFATE,"7772-98-7 , 10102-17-7 (pentahydrate)",Na2S2O3,158,1.67,,,"100 (pentahydrate,- 5H2Odecomp)",48.3(pentahydrate),,,,,,,,,,,,,,,,1,,,,
SOMAN,,C7H16FO2P,182,1.02,,,198,-42,,,,,,,,,,,,,,,,,,1,,EFI
STARCH,9005-25-8,(C6H10O5)n,,1.5,,,,,,,,,,,,,,,,,,,,1,,,,
STEARATES,,,,,,,,,,,,,,10,,,,,,,,,,1,,,,
STIBINE,7803-52-3,SbH3,125,0.005172,,,-18.4,,0.1,0.1,0.1,,0.1,,0.5,,,,,,,,,,,1,,EFA
STODDARD SOLVENT,8052-41-3,85% Nonane,,0.78,,,220,,100,,,,,,350,1,,,,,,,,,,,,
STYRENE MONOMER,100-42-5,C8H8,104,0.91,,,146,,20,50,20,0.32,50,,215,1,,,,,,,,,,,,
SU-8 PHOTORESIST,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
SUCROSE,57-50-1,C12H22O11,342.3,1.59,,,,186 (decomp),,,,,,,,,,,,,,,,1,,,,
SULFAMIC ACID,5329-14-6,H2NSO3H,97,2.15,,,,205 (decomp),,,,,,,,,2,,,,,,,,,,,
SULFUR DECAFLUORIDE,5714-22-7,F10S2,254,0.010524,,,29,,0.01,,0.03,,C0.01,,C0.1,,,,,,,,,,1,,,
SULFUR DICHLORIDE,,SCl2,103,,,,Decomp,,1,,1,,,,,,,,,,,,,,1,,,
SULFUR DIOXIDE,9/5/7446,SO2,64,0.002712,,,-10,,2,2,0.5,1.1,2,,5,,2,,,,,,,,,,,
SULFUR HEXAFLUORIDE,2551-62-4,SF6,146,0.006132,,,Subl,,1000,1000,1000,,100,,6000,,2,,,,,,,,,,,
SULFUR MONOXIDE,13827-32-2,OS,,,,,,,,,,,,,,,,,,,,,,,,1,,EFA
SULFUR MUSTARD,505-60-2,C4H8Cl2S,159,1.27,,,217 (decomposes),14.4,,,,,,,,,,,,,,,,,1,,,
SULFUR TETRAFLUORIDE,7783-60-0,SF4,108,0.004536,,,-40,,,,,,C0.1,,C0.4,,,,,,,,,,,1,,EFA
"SULFURIC ACID cold, fuming or heated",7664-93-9,H2SO4,98,1.84,,,296,,,,,,,1,1,2,2,,,,,,,,,,,
SULFURYL FLUORIDE,2699-79-8,F2O2S,102,0.004464,,,-55,,5,5,,,5,,20,,,,,,,,,,,1,,EFA
Tabun,77-81-6,C5H11N2O2P,162.13,"1.0887 at 25 °C, 1.102 at 20 °C",,,247.5,-50,,,,,,,,,,,,,,,,,,1,,EFI
TALC containing no Abestos fibers,14807-96-6,,,2.70-2.80,,,,,,,,,,2,2,,,,,,,,,1,,,,
TCEP,51805-45-9,C9H15O6P,250,,,,,,,,,,,,,1,,,,,,,,,,,,
TEDP (sulfotep),3689-24-5,C8H20O5P2S2,322,1.2,,,136,,,,0.01,,,0.2,0.2,,,,,,,,,,,1,,EFA
TEFLON  Decomposition products,,(C2F4)n,,,,,,,,,,,,,,,,,,,,,,,,1,,EFA
TELLURIUM & Cpds,13494-80-9,Te,128,6.24,,,990,,,,,,,0.1,0.1,,,,,,,,,1,,,,
TELLURIUM HEXAFLUORIDE as Te,7783-80-4,TeF6,242,0.010008,,,Subl,,0.02,0.02,,,0.02,,0.2,,,,,,,,,1,,,,
TERPHENYLS,92-06-8,C18H14,230,1.1 (o),,,276,,,,,,C0.5,,C5,1,,,,,,,,,,,,
"1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE",76-12-0,C2Cl4F2,204,1.65,,,92,,500,500,1000,,500,,4170,,,,,,,,,,1,,,
"1,1,2,2- TETRACHLOROETHANE",79-34-5,C2H2Cl4,168,1.59,,,146,,1,1,1,1.5,1,,7,1,,,,,,,,,,,,
TETRACHLORONAPHTHALENE,1335-88-2,C10H4Cl4,266,1.59-1.65,,,331,,,,,,,2,2,1,,,,,,,,,,,,
TETRAETHYL LEAD as Pb,78-00-2,C8H20Pb,323,1.65,,,100,,,,,,,0.1,0.08,,,,,,,,,,1,,,
TETRAETHYL SILOXONE,,C8H20O3SiK,,,,,,,,,,,,,,,,,,,,,,,1,,,
"1,1,1,2-TETRAFLUOROETHANE",811-97-2,C2H2F4,,,,,,,,,1000,,,,,,,,,,,,,,1,,,
TETRAHYDROFURAN,109-99-9,C4H8O,72,0.89,,,65,,200,200,50,2,200,,590,1,,,,,,,,,,,,
TETRANITROMETHANE,509-14-8,CN4O8,196,1.62,,,126,,0.01,1,1,,1,,8,,,,,,,,,,,1,,EFA
TETRYL,479-45-8,C7H5N5O8,287,1.57,,,187,,,,,,,1.5,1.5,,,,,,,,,,,1,,EFA
THALLIUM and soluble cpds,,TI,204,,,,1457,,,,,,,0.1,0.1,,,,,,,,,1,,,,
TETRAETHYL LEAD as Pb,78-00-2,C8H20Pb,323,1.65,,,100,,,,,,,0.1,0.08,,,,,,,,,,1,,,
THIOGLYCOLIC ACID,68-11-1,C2H4O2S,,,,,,,,,,,,,,1,,,,,,,,,,,,
THIOUREA,62-56-6,CH4N2S,76.12,1.405,,,,182,,,,,,,,2,,,,,,,,,,,,
"4,4-THIO BIS (6-tert-BUTYL-meta-CRESOL)",96-69-5,C22H30O2S,358,1.1,,,,150,,,,,,10,10,,,,,,,,,,1,,,
TIN inorganic cpds,7440-31-5,Sn,119,7.28,,,2507,,,,,,,2,2,,,,,,,,,1,,,,
TIN organic cpds,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,1,,,,
TITANIUM DIOXIDE,13463-67-7,TiO2,80,4.6,,,,1860,,,,,,10,,,,,,,,,,1,,,,
Titanium tetrachloride,7550-45-0,TiCl4,190,1.726,,,136.4,-24.8,,,,,,,,,,,,,,,,1,,,,
TOLUENE,108-88-3,C7H8,92,0.87,,,110,,50,100,50,2.9,100,,375,1,,,,,,,,,,,,
TOLUIDINE all isomers,,C7H9N,107,"1.05(p), 1.01(o), 0.999(m)",,,200,,2,2,0.01,0.02,,,,1,,,,,,,,,,,,
"TOLUYLEN-2,4-DIISOCYANATE",584-84-9,C9H6N2O2,174,1.22,,,251,,0.01,0.01,0.01,0.25,,,,,,,,,,,,,,1,,EFA
"TOLUYLEN-2,6-DIISOCYANATE",,C9H6N2O2,174,,,,251,,,,0.01,,,,,,,,,,,,,,,1,,EFA
"1,2,4-TRICHLOROBENZENE",120-82-1,C6H3Cl3,180,1.45,,,213,,,5,5,1.4,C5,,C40,,,,,,,,,,1,,,
"2,3,4-TRICHLORO-1-BUTENE",,C4H6Cl3,159,,,,,,,,0.01,,,,,,,,,,,,,,,1,,
"1,1,2-TRICHLOROETHANE",79-00-5,C2H3Cl3,132,1.44,,,114,,10,,10,,10,,45,1,,,,,,,,,,,,
TRICHLOROETHYLENE,79-01-6,C2HCl3,130,1.46,,,86,,50,75,50,28,,,,1,,,,,,,,,,,,
"1,2,3-TRICHLOROPROPANE",96-18-4,C3H5Cl3,147,1.39,,,142,,10,,,,10,,60,1,,,,,,,,,,,,
Tri-ortho-CRESYL PHOSPHATE,78-30-8,C21H21O4P,368,1.2,,,410,,,,,,,,,,,,,,,,,,1,,,
TRIPHENYL AMINE,603-34-9,C18H15N,245,0.77,,,365,,,,,,,,,,,,,,,,,,1,,,
TRIETHANOLAMINE,,C6H15O3N,149,,,,Decomp,21.2,,,,,,5,,,,,,,,1,,,,,,
TRIETHYLAMINE,121-44-8,C6H15N,101,0.73,,,89.5,,1,,10,0.48,,,,,,,,,,2,,,,,,
TRIMELLITIC ANHYDRIDE Fumes,552-30-7,C9H4O5,192,,,,,,,0.01,,,0.01,,0.04,,,,,,,,,,,1,,EFA
TRIMETHYLAMINE,75-50-3,C3H9N,59,0.002508,,,-4,,5,,,,10,,24,,,,,,,2,,,,,,
TRIMETHYLBENZENE,108-97-8,C9H12,120,0.86-0.89,,,176,,25,25,20,0.55,25,,125,1,,,,,,,,,,,,
TRIMETHYLPHOSPHITE,121-45-9,C3H9O3P,124,1.05,,,108,,2,2,,,2,,10,,,,,,,,,,,1,,EFA
TRINITROTOLUENE,118-96-7,C7H5N3O6,227,1.65,,,Explo,,,,0.01,,,0.1,0.5,,,,,,,,,,,1,,EFA
TRIFLUOROACETIC ACID,76-05-1,C2HF3O2,114.02,1.489,,,72.4,-15.4,,,,,,,,1,,,,,,,,,,,,
TRIMETHYLSILYL CHLORIDE,75-77-4,C3H9SiCl,109,0.856,,,57,?40,,,,,,,,2,,,,,,,,,,,,
TRIS,77-86-1,C4H11NO3,121.14,,,,121.14,175-176,,,,,,,,1,,,,,,,,,,,,
TRISODIUM CITRATE,"68-04-2 , 6132-04-3 (dihydrate), 6858-44-2 (pentahydrate)",Na3C6H5O7,258.06,1.7,,,Decomposes,>300 hydrates lose water ca. 150 C,,,,,,,,,,,,,,,,1,,,,
TUNGSTEN soluble cpds,,W,,,,,5900,,,,,,,5,5,,,,,,,,,,1,,,
TUNGSTEN and  insoluble cpds,7440-33-7,W,,19.3,,,,,,,,,,1,1,,,,,,,,,1,,,,
TURPENTINE,8006-64-2,C10H16,136,0.86,,,154,,100,100,100,,100,,560,1,,,,,,,,,,,,
UREA,57-13-6,CH4N2O,60,1.32,4.56 D,,133–135,,,,,,,,,2,,,,,,,2,,,,,
URIC ACID,,C5H4O3N4,168,,,,,Decomp,,,,,,,,1,,,,,,,,,,,,
VANADIUM Dust or fume,1314-62-1,V2O5,182,3.36,,,,,,,,,,0.05,C0.05,,,,,,,,,1,,,,
VINYL ACETATE,108-05-4,C4H6O2,86,0.93,,,73,,10,10,10,0.5,C4,,C15,1,,,,,,,,,,,,
VINYL BROMIDE,593-60-2,C2H3Br,107,0.004548,,,16,,0.5,,,,,,,,,,,,,,,,1,,,
VINYL BUTYL ETHER,111-34-2,C6H12O,100,,,,94,,,,,,,,,1,,,,,,,1,,,,,
VINYL FLUORIDE,75-02-5,C2H3F,46,0.00192,,,-72,"-160,5",1,,,,,,,,,,,,,,,,1,,,
VINYLIDENE CHLORIDE,75-35-4,C2H2Cl2,96,1.21,,,37,,5,5,2,,,,,,,,,,,,,,1,,,
VINYLIDENE FLUORIDE,75-38-7,C2H2F2,64,0.002652,,,-83,,500,,,,1,,,,,,,,,,,,1,,,
VINYL TOLUENE,25013-15-4,C9H10,118,0.89,,,170,,50,50,100,10,100,,480,1,,,,,,,,,,,,
VINYL CHLORIDE,75-01-4,C2H3Cl,63,0.002652,,,-14,,5,,,3000,,,,2,,,,,,,,,,,,
VALERIC ACID,109-52-4,C5H10O2,102,0.93,,,186-187,-34.5,,,,,,,,1,,,,,,,,,,,,
VM & NAPTHA,8032-32-4,,,0.73-0.76,,,80,,100,,,,,,350,1,,,,,,,,,,,,
VX (nerve agent),50782-69-9,C11H26NO2PS,,1,,,298,-50,,,,,,,,,,,,,,,,,,1,,EFA
WAR FARIN,81-81-2,C19H16O4,308,,,,,161,,,,,,0.1,0.1,,,,,,,,,,1,,,
m-XYLENE,108-38-3,C8H10,106,0.86,,,138,,100,100,100,1.1,100,,435,1,,,,,,,,,,,,
o-XYLENE,95-47-6,C8H10,106,0.88,,,138,,100,100,100,1.1,100,,435,1,,,,,,,,,,,,
p-XYLENE,106-42-3,C8H10,106,0.86,,,138,,100,100,100,1.1,100,,435,1,,,,,,,,,,,,
XYLIDINE,1300-73-8,C8H11N,121,0.98,,,213,,0.5,2,5,0.06,2,,10,,,,,,,,,,1,,,
YTTRIUM & cpds,7440-65-5,Y,,4.47,,,,,,,,,,1,1,,,,,,,,,1,,,,
ZINC CHROMATE as Cr,13530-65-9,ZnCrO4.7H2O,183,,,,,,,,,,,0.01,,,,,,,,,,1,,,,
ZINC OXIDE Fume,1314-13-2,ZnO,81,,,,,,,,,,,5,5,,,,,,,,,1,,,,
ZINC OXIDE Dust,1314-13-2,ZnO,81,5.61,,,,,,,,,,10,5,,,,,,,,,1,,,,
ZIRCONIUM Cpds as Zr,7440-67-7,Zr,,6.51,,,,,,,,,,5,5,,,,,,,,,1,,,,
